episode,reward,loss,epsilon
285,-13.0,0.9030356407165527,0.7667715297639581
286,-20.0,0.6747086644172668,0.7660049499270767
287,-13.0,0.9133116006851196,0.7652391364783871
288,-13.0,0.6284817755222321,0.764474088651693
289,-16.0,0.5270865559577942,0.7637098056815635
290,-20.0,0.533975750207901,0.7629462868033335
291,-4.0,0,0.7629462868033335
292,-20.0,0.7014461904764175,0.762183531253102
293,-20.0,0.5986228436231613,0.7614215382677318
294,-6.0,0.6854198724031448,0.7606603070848488
295,-20.0,0.6957784295082092,0.7598998369428408
296,-13.0,0.5639687180519104,0.7591401270808573
297,-3.0,0.4371218681335449,0.7583811767388083
298,-20.0,0.7496508955955505,0.7576229851573638
299,-20.0,0.7214363515377045,0.7568655515779528
300,-20.0,0.7500362396240234,0.7561088752427627
301,-20.0,0.5149725377559662,0.7553529553947389
302,-13.0,0.5183051228523254,0.7545977912775831
303,-13.0,0.6204818189144135,0.7538433821357534
304,-13.0,0.5414867103099823,0.7530897272144633
305,-13.0,0.5863876342773438,0.7523368257596807
306,-13.0,0.7179983258247375,0.7515846770181276
307,-1.0,0.2047349512577057,0.7512088846796185
308,-13.0,0.6912447661161423,0.7504578635971602
309,-16.0,0.8006113767623901,0.7497075933480289
310,-16.0,0.8672438263893127,0.7489580731815793
311,-13.0,0.6535811424255371,0.748209302347916
312,-8.0,0.5732880085706711,0.7474612800978938
313,-13.0,0.6999621391296387,0.7467140056831161
314,-13.0,0.73660808801651,0.7459674783559345
315,-13.0,0.6599737703800201,0.7452216973694482
316,-3.0,0.6402828544378281,0.7444766619775032
317,-13.0,0.7382496893405914,0.7437323714346912
318,-20.0,0.9058402180671692,0.7429888249963494
319,-1.0,0.4711756706237793,0.7426173305838513
320,-6.0,0.5458373129367828,0.7418748989076002
321,-13.0,0.730342447757721,0.7411332094774175
322,-13.0,1.431418240070343,0.7403922615512425
323,-6.0,2.0126720666885376,0.7396520543877567
324,-8.0,2.115409195423126,0.7389125872463826
325,-20.0,1.6672378182411194,0.7381738593872831
326,-12.0,0.7281661629676819,0.7378047724575895
327,-20.0,1.5175716876983643,0.737067152136325
328,2.0,0.9052066206932068,0.7363302692509768
329,-20.0,1.2033409476280212,0.7355941230642932
330,-6.0,0.8043390810489655,0.7348587128397597
331,-6.0,0,0.7348587128397597
332,-13.0,1.2075784802436829,0.7341240378415982
333,4.0,0.47159498929977417,0.7333900973347661
334,-20.0,1.1216308772563934,0.7326568905849558
335,-13.0,1.1540400385856628,0.7319244168585936
336,-13.0,1.0974127054214478,0.7311926754228393
337,-20.0,0.6058730781078339,0.7304616655455853
